recording_a,recording_b,category,euclidean_distance,cosine_similarity
PedNYC1_scenario3,PedNYC24_scenario15,different_scenario_different_participant,5.607526370969561,-0.6431301360952644
PedNYC1_scenario3,PedNYC24_scenario16,different_scenario_different_participant,4.647402890093173,-0.14088554043191825
PedNYC1_scenario3,PedNYC24_scenario21,different_scenario_different_participant,2.4554860695254432,0.7307471379809469
PedNYC1_scenario3,PedNYC25_scenario3,same_scenario_different_participant,5.677355613621168,-0.3392090316020462
PedNYC1_scenario3,PedNYC25_scenario7,different_scenario_different_participant,4.75264855937792,-0.4541019475655541
PedNYC1_scenario3,PedNYC25_scenario15,different_scenario_different_participant,5.001520057367163,-0.3060309692649328
PedNYC1_scenario3,PedNYC25_scenario16,different_scenario_different_participant,3.767163593258161,0.11399031060486375
PedNYC1_scenario3,PedNYC25_scenario21,different_scenario_different_participant,3.9983336790669224,0.03769536905348814
PedNYC1_scenario3,PedNYC26_scenario3,same_scenario_different_participant,4.453961240255895,-0.05329644066951067
PedNYC1_scenario3,PedNYC26_scenario7,different_scenario_different_participant,5.573920567768911,-0.31717618757676336
PedNYC1_scenario3,PedNYC26_scenario12,different_scenario_different_participant,4.753225731460327,-0.08255788738228675
PedNYC1_scenario3,PedNYC26_scenario15,different_scenario_different_participant,4.4719246433783635,-0.14773228322273413
PedNYC1_scenario3,PedNYC26_scenario16,different_scenario_different_participant,3.610623426555886,0.43943785524704193
PedNYC1_scenario3,PedNYC26_scenario21,different_scenario_different_participant,5.046373897572124,0.15794413067303048
PedNYC1_scenario3,PedNYC27_scenario21,different_scenario_different_participant,6.061463293770971,-0.13623246569333602
PedNYC1_scenario3,PedNYC28_scenario3,same_scenario_different_participant,4.107714392575022,0.10573511311205086
PedNYC1_scenario3,PedNYC28_scenario7,different_scenario_different_participant,3.146433250140786,0.5552042481176971
PedNYC1_scenario3,PedNYC28_scenario12,different_scenario_different_participant,2.8893899953087305,0.5947567516405841
PedNYC1_scenario3,PedNYC28_scenario15,different_scenario_different_participant,5.408315985678911,-0.020836371655134966
PedNYC1_scenario3,PedNYC28_scenario16,different_scenario_different_participant,4.396455199285661,0.12798750796549485
PedNYC1_scenario3,PedNYC28_scenario21,different_scenario_different_participant,5.543740387129579,-0.01929876917989204
PedNYC1_scenario3,PedNYC29_scenario3,same_scenario_different_participant,6.185164351332891,-0.10610934838523911
PedNYC1_scenario3,PedNYC29_scenario7,different_scenario_different_participant,5.330986508457166,-0.07754255441241731
PedNYC1_scenario3,PedNYC29_scenario12,different_scenario_different_participant,5.120061268667043,0.030296141224616213
PedNYC1_scenario3,PedNYC29_scenario15,different_scenario_different_participant,4.397990020221238,0.1521853595290863
PedNYC1_scenario3,PedNYC29_scenario21,different_scenario_different_participant,4.039067067659764,0.011092384125349075
PedNYC1_scenario3,PedNYC30_scenario3,same_scenario_different_participant,7.069867704514498,-0.06914678853950273
PedNYC1_scenario3,PedNYC30_scenario12,different_scenario_different_participant,3.2975954943840997,0.44373957998371605
PedNYC1_scenario3,PedNYC30_scenario15,different_scenario_different_participant,5.953705593368023,-0.6449965352825036
PedNYC1_scenario3,PedNYC30_scenario16,different_scenario_different_participant,4.8793209370817445,-0.005261492924790723
PedNYC1_scenario3,PedNYC30_scenario21,different_scenario_different_participant,5.077424339096796,-0.07535943488495467
PedNYC1_scenario3,PedNYC31_scenario3,same_scenario_different_participant,8.882087036700508,-0.3230543563956678
PedNYC1_scenario3,PedNYC31_scenario12,different_scenario_different_participant,8.712140028959519,-0.3929400782417636
PedNYC1_scenario3,PedNYC31_scenario15,different_scenario_different_participant,13.3148331799443,-0.3568267892063006
PedNYC1_scenario7,PedNYC1_scenario12,same_participant_different_scenario,3.3312318849457028,0.3606074615341577
PedNYC1_scenario7,PedNYC1_scenario15,same_participant_different_scenario,1.7527268280194015,0.7689875673618313
PedNYC1_scenario7,PedNYC1_scenario16,same_participant_different_scenario,2.7632713272621263,0.517209168380117
PedNYC1_scenario7,PedNYC1_scenario21,same_participant_different_scenario,3.6916599311071314,0.1893408746296903
PedNYC1_scenario7,PedNYC2_scenario3,different_scenario_different_participant,5.135129522058639,-0.10059676394115558
