participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z
PedNYC28,PedNYC28_scenario21,21,27.0,-1.7731350429348531,64.81458049638753,2.3621770941907902,72.14339249828464
PedNYC28,PedNYC28_scenario21,21,28.0,-1.8031008154921286,64.59293624872782,2.3572431414071744,71.8193469744236
PedNYC28,PedNYC28_scenario21,21,29.0,-1.8143644462258146,64.51041670660824,2.354231027768377,71.6117033635847
PedNYC28,PedNYC28_scenario21,21,30.0,-1.8284521553777413,64.16156036399747,2.3529651845010457,71.51978872123827
PedNYC28,PedNYC28_scenario21,21,31.0,-1.8246751375602461,63.918280266978066,2.35288291869092,71.51401155298922
PedNYC28,PedNYC28_scenario21,21,32.0,-1.82659152321753,63.68549066643579,2.3528787597722056,71.51367328743798
PedNYC28,PedNYC28_scenario21,21,33.0,-1.8404155357151615,63.469837050668644,2.3528767333642224,71.51352265460767
PedNYC28,PedNYC28_scenario21,21,34.0,-1.8662571583806598,63.24363704231581,2.3528759479522705,71.51347120750842
PedNYC28,PedNYC28_scenario21,21,35.0,-1.8832104932125973,63.01700168720914,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,36.0,-1.883635774384624,62.80826147597849,2.3528757095336914,71.5134506225586
PedNYC28,PedNYC28_scenario21,21,37.0,-1.8792476705170413,62.601855487169246,2.3528757095336914,71.5134506225586
PedNYC28,PedNYC28_scenario21,21,38.0,-1.888059000856686,62.405049188966096,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,39.0,-1.9084157425277106,62.221950593298516,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,40.0,-1.941434651793129,62.051605734588016,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,41.0,-1.9747803103272372,61.890443057298846,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,42.0,-1.9539879278646888,61.734627717696036,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,43.0,-1.9206418455076746,61.622042527213495,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,44.0,-1.904134312433519,61.523997474959884,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,45.0,-1.8997146253780668,61.429441072045606,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,46.0,-1.919718099034494,61.340368029623754,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,47.0,-1.975321555408543,61.237415325242736,2.3528756736841054,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,48.0,-2.053562696378693,61.14804790793976,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,49.0,-2.1344396870526423,61.07712366022417,2.3528757095336914,71.51345825195312
PedNYC28,PedNYC28_scenario21,21,50.0,-2.2041431027398986,61.02329921274677,2.3528757095336914,71.51345825195312
