pednyc_number,scenario_number,recording_identifier,source_csv_path,availability_status,processing_status,failure_exclusion_reason
29,3,PedNYC29_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario3\decoded_clean_PedNYC29_scenario3.csv,available,success,
29,7,PedNYC29_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario7\decoded_clean_PedNYC29_scenario7.csv,available,success,
29,12,PedNYC29_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario12\decoded_clean_PedNYC29_scenario12.csv,available,success,
29,15,PedNYC29_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario15\decoded_clean_PedNYC29_scenario15.csv,available,success,
29,16,PedNYC29_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario16\decoded_clean_PedNYC29_scenario16.csv,available,failed,Excluded: smoothed pedestrian speed exceeds configured 8 m/s spike threshold
29,21,PedNYC29_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc29\scenario21\decoded_clean_PedNYC29_scenario21.csv,available,success,
30,3,PedNYC30_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc30\scenario3\decoded_clean_PedNYC30_scenario3.csv,available,success,
30,7,,,missing,not_applicable,No decoded CSV found in inventory
30,12,PedNYC30_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc30\scenario12\decoded_clean_PedNYC30_scenario12.csv,available,success,
30,15,PedNYC30_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc30\scenario15\decoded_clean_PedNYC30_scenario15.csv,available,success,
30,16,PedNYC30_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc30\scenario16\decoded_clean_PedNYC30_scenario16.csv,available,success,
30,21,PedNYC30_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc30\scenario21\decoded_clean_PedNYC30_scenario21.csv,available,success,
31,3,PedNYC31_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc31\scenario3\decoded_clean_PedNYC31_scenario3.csv,available,success,
31,7,,,missing,not_applicable,No decoded CSV found in inventory
31,12,PedNYC31_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc31\scenario12\decoded_clean_PedNYC31_scenario12.csv,available,success,
31,15,PedNYC31_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc31\scenario15\decoded_clean_PedNYC31_scenario15.csv,available,success,
31,16,,,missing,not_applicable,No decoded CSV found in inventory
31,21,,,missing,not_applicable,No decoded CSV found in inventory
