"pednyc","scenario","source_path","destination_path","file_size_bytes","copy_status"
"PedNYC5","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-21_Session-temp_2024-02-27-11-09-49_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario21\decoded_clean_PedNYC5_scenario21.csv","16728876","copied"
"PedNYC5","3","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-3_Session-temp_2024-02-27-11-47-03_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario3\decoded_clean_PedNYC5_scenario3.csv","15357275","copied"
"PedNYC5","7","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Ped-7_Session-temp_2024-02-27-11-40-01_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario7\decoded_clean_PedNYC5_scenario7.csv","12803481","copied"
"PedNYC5","Practice","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC5\CSV_Scenario-Practice_Session-temp_2024-02-27-10-48-19_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenarioPractice\CSV_Scenario-Practice_Session-temp_2024-02-27-10-48-19_decoded.csv","61048029","copied"
"PedNYC6","101","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-101_Session-temp_2024-03-01-11-08-40_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario101\decoded_clean_PedNYC6_scenario101.csv","14424483","copied"
"PedNYC6","102","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-102_Session-temp_2024-03-01-11-12-33_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario102\decoded_clean_PedNYC6_scenario102.csv","15175584","copied"
"PedNYC6","103","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-103_Session-temp_2024-03-01-11-23-18_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario103\decoded_clean_PedNYC6_scenario103.csv","13281752","copied"
"PedNYC6","104","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-104_Session-temp_2024-03-01-11-29-18_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario104\decoded_clean_PedNYC6_scenario104.csv","32974888","copied"
"PedNYC6","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-106_Session-temp_2024-03-01-11-55-49_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario106\decoded_clean_PedNYC6_scenario106.csv","12065116","copied"
"PedNYC6","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-47-13_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-47-13_decoded.csv","7461701","copied"
"PedNYC6","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-48-06_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-48-06_decoded.csv","38286745","copied"
"PedNYC6","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-52-52_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario15\CSV_Scenario-Ped-15_Session-temp_2024-03-01-11-52-52_decoded.csv","18727289","copied"
"PedNYC6","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-17-48_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario21\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-17-48_decoded.csv","8886858","copied"
"PedNYC6","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-18-30_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario21\CSV_Scenario-Ped-21_Session-temp_2024-03-01-11-18-30_decoded.csv","16482808","copied"
"PedNYC6","7","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC6\CSV_Scenario-Ped-7_Session-temp_2024-03-01-11-26-04_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc6\scenario7\decoded_clean_PedNYC6_scenario7.csv","14647722","copied"
