recording_identifier,scenario_number,aligned_time,interpolated_speed
PedNYC15_scenario12,12,26.29999999999989,0.05149368848690385
PedNYC15_scenario12,12,26.39999999999989,0.0491650619976122
PedNYC15_scenario12,12,26.499999999999886,0.06364392957018075
PedNYC15_scenario12,12,26.599999999999888,0.11886286154887364
PedNYC15_scenario12,12,26.69999999999989,0.20546594902812096
PedNYC15_scenario12,12,26.799999999999887,0.30200674856620663
PedNYC15_scenario12,12,26.899999999999885,0.3770753825917987
PedNYC15_scenario12,12,26.999999999999886,0.4135026817179052
PedNYC15_scenario12,12,27.099999999999888,0.38944515507111277
PedNYC15_scenario12,12,27.19999999999989,0.34181815107869024
PedNYC15_scenario12,12,27.299999999999883,0.2888136418269309
PedNYC15_scenario12,12,27.399999999999885,0.21994035399726772
PedNYC15_scenario12,12,27.499999999999886,0.1672694493487585
PedNYC15_scenario12,12,27.59999999999988,0.11978801097317904
PedNYC15_scenario12,12,27.699999999999882,0.08516913128621574
PedNYC15_scenario12,12,27.799999999999883,0.06570231130167763
PedNYC15_scenario12,12,27.899999999999885,0.05774489980139047
PedNYC15_scenario12,12,27.999999999999886,0.05457731426039843
PedNYC15_scenario12,12,28.09999999999988,0.05148047471100223
PedNYC15_scenario12,12,28.199999999999882,0.0459024030744019
PedNYC15_scenario12,12,28.299999999999883,0.03925165000513575
PedNYC15_scenario12,12,28.399999999999878,0.0319113539641748
PedNYC15_scenario12,12,28.49999999999988,0.021039776684857257
PedNYC15_scenario12,12,28.59999999999988,0.01688764886004366
PedNYC15_scenario12,12,28.699999999999882,0.01879173746323259
PedNYC15_scenario12,12,28.799999999999883,0.026217814629838312
PedNYC15_scenario12,12,28.899999999999878,0.036083183942732605
PedNYC15_scenario12,12,28.99999999999988,0.043495432853689495
PedNYC15_scenario12,12,29.09999999999988,0.052472544584120775
PedNYC15_scenario12,12,29.199999999999875,0.06201318377138045
PedNYC15_scenario12,12,29.299999999999876,0.0744155829006945
PedNYC15_scenario12,12,29.399999999999878,0.08588745861047298
PedNYC15_scenario12,12,29.49999999999988,0.10176527527567182
PedNYC15_scenario12,12,29.59999999999988,0.12588088680394188
PedNYC15_scenario12,12,29.699999999999875,0.16551072739396883
PedNYC15_scenario12,12,29.799999999999876,0.26436872182526666
PedNYC15_scenario12,12,29.899999999999878,0.3637612463236431
PedNYC15_scenario12,12,29.999999999999872,0.43047815195075145
PedNYC16_scenario12,12,-5.0,0.0247890294514786
PedNYC16_scenario12,12,-4.9,0.01853824576272031
PedNYC16_scenario12,12,-4.800000000000001,0.018945388574976532
PedNYC16_scenario12,12,-4.700000000000001,0.023813392045975355
PedNYC16_scenario12,12,-4.600000000000001,0.03237884519368202
PedNYC16_scenario12,12,-4.500000000000002,0.04346269829732626
PedNYC16_scenario12,12,-4.400000000000002,0.05375631298648978
PedNYC16_scenario12,12,-4.3000000000000025,0.07150239148752532
PedNYC16_scenario12,12,-4.200000000000003,0.08711011416003533
PedNYC16_scenario12,12,-4.100000000000003,0.09373110135038018
PedNYC16_scenario12,12,-4.0000000000000036,0.10128016855571496
PedNYC16_scenario12,12,-3.900000000000004,0.09143359481519864
PedNYC16_scenario12,12,-3.8000000000000043,0.07645087018832311
PedNYC16_scenario12,12,-3.7000000000000046,0.05851387832098798
PedNYC16_scenario12,12,-3.600000000000005,0.043450620600062266
PedNYC16_scenario12,12,-3.5000000000000053,0.03503404261812139
PedNYC16_scenario12,12,-3.4000000000000057,0.0318537863560054
PedNYC16_scenario12,12,-3.300000000000006,0.027122388287273886
PedNYC16_scenario12,12,-3.2000000000000064,0.019314984280148485
PedNYC16_scenario12,12,-3.1000000000000068,0.014042912947317908
PedNYC16_scenario12,12,-3.000000000000007,0.012695705587900608
PedNYC16_scenario12,12,-2.9000000000000075,0.013812331831715518
PedNYC16_scenario12,12,-2.800000000000008,0.017441485488353323
PedNYC16_scenario12,12,-2.700000000000008,0.019359652817531655
PedNYC16_scenario12,12,-2.6000000000000085,0.019015674521447947
PedNYC16_scenario12,12,-2.500000000000009,0.017019170718558678
PedNYC16_scenario12,12,-2.4000000000000092,0.016481066175800054
PedNYC16_scenario12,12,-2.3000000000000096,0.01827810114436811
PedNYC16_scenario12,12,-2.20000000000001,0.02560128816437534
PedNYC16_scenario12,12,-2.1000000000000103,0.032030727220682516
PedNYC16_scenario12,12,-2.0000000000000107,0.03825788370614535
PedNYC16_scenario12,12,-1.900000000000011,0.04005426393831472
PedNYC16_scenario12,12,-1.8000000000000114,0.03633461286354743
PedNYC16_scenario12,12,-1.7000000000000117,0.03556402815762841
